f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,state
2.49E+07,2.42E+07,2.41E+07,2.41E+07,2.41E+07,2.40E+07,2.40E+07,2.40E+07,2.42E+07,2.42E+07,2.41E+07,2.41E+07,2.44E+07,2.41E+07,0.00E+00
2.46E+07,2.40E+07,2.42E+07,2.39E+07,2.42E+07,2.40E+07,2.41E+07,2.40E+07,2.41E+07,2.42E+07,2.41E+07,2.41E+07,2.48E+07,2.41E+07,0.00E+00
2.46E+07,2.41E+07,2.42E+07,2.38E+07,2.41E+07,2.41E+07,2.41E+07,2.41E+07,2.41E+07,2.42E+07,2.42E+07,2.41E+07,2.49E+07,2.41E+07,0.00E+00
2.46E+07,2.41E+07,2.42E+07,2.38E+07,2.42E+07,2.41E+07,2.41E+07,2.41E+07,2.42E+07,2.42E+07,2.42E+07,2.42E+07,2.50E+07,2.42E+07,0.00E+00
2.46E+07,2.41E+07,2.43E+07,2.38E+07,2.42E+07,2.40E+07,2.41E+07,2.40E+07,2.41E+07,2.42E+07,2.42E+07,2.42E+07,2.50E+07,2.42E+07,0.00E+00
2.46E+07,2.41E+07,2.41E+07,2.39E+07,2.41E+07,2.40E+07,2.41E+07,2.40E+07,2.41E+07,2.42E+07,2.42E+07,2.41E+07,2.49E+07,2.41E+07,0.00E+00
2.46E+07,2.41E+07,2.44E+07,2.39E+07,2.41E+07,2.40E+07,2.41E+07,2.40E+07,2.41E+07,2.42E+07,2.42E+07,2.42E+07,2.49E+07,2.42E+07,0.00E+00
2.46E+07,2.41E+07,2.43E+07,2.39E+07,2.41E+07,2.41E+07,2.41E+07,2.41E+07,2.42E+07,2.41E+07,2.43E+07,2.42E+07,2.50E+07,2.42E+07,0.00E+00
2.46E+07,2.41E+07,2.41E+07,2.40E+07,2.42E+07,2.41E+07,2.41E+07,2.41E+07,2.42E+07,2.41E+07,2.42E+07,2.42E+07,2.50E+07,2.42E+07,0.00E+00
2.47E+07,2.41E+07,2.42E+07,2.41E+07,2.42E+07,2.41E+07,2.41E+07,2.41E+07,2.42E+07,2.42E+07,2.42E+07,2.42E+07,2.50E+07,2.42E+07,0.00E+00
