f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14
4321.025391,4193.333008,4178.461426,4187.692383,4187.692383,4157.94873,4169.230469,4168.717773,4194.358887,4193.846191,4177.94873,4182.563965,4229.230469,4184.102539
4313.846191,4196.410156,4180,4184.615234,4189.230469,4158.974121,4160.512695,4164.615234,4185.12793,4194.871582,4169.743652,4175.897461,4224.102539,4175.897461
4317.436035,4209.230469,4218.461426,4181.538574,4194.871582,4185.12793,4165.12793,4163.589844,4172.820313,4193.846191,4172.307617,4196.410156,4229.230469,4176.922852
4324.615234,4213.333008,4191.281738,4189.230469,4193.333008,4192.307617,4168.205078,4164.615234,4175.897461,4192.307617,4181.538574,4200,4251.281738,4193.846191
4337.94873,4207.179199,4193.333008,4198.461426,4197.94873,4172.820313,4173.846191,4168.717773,4179.487305,4193.846191,4184.615234,4202.563965,4256.922852,4204.102539
4337.436035,4212.307617,4161.025391,4206.666504,4181.025391,4161.538574,4164.615234,4169.743652,4176.922852,4193.333008,4185.641113,4199.487305,4247.179199,4203.589844
4337.94873,4225.641113,4189.743652,4209.743652,4178.461426,4169.743652,4169.743652,4173.333008,4179.487305,4192.820313,4187.692383,4206.153809,4240.512695,4203.07666
4342.563965,4227.692383,4228.717773,4215.384277,4185.12793,4175.384277,4178.461426,4190.256348,4188.205078,4190.769043,4187.179199,4214.871582,4234.871582,4202.563965
4338.461426,4214.358887,4196.410156,4226.666504,4182.05127,4168.717773,4165.12793,4202.05127,4187.179199,4188.205078,4181.538574,4197.436035,4222.563965,4197.436035
4343.07666,4207.179199,4197.94873,4232.820313,4192.820313,4165.641113,4168.205078,4188.717773,4176.410156,4191.794922,4170.769043,4196.922852,4218.461426,4189.230469
4340,4216.410156,4161.025391,4235.384277,4182.563965,4167.692383,4168.717773,4182.563965,4180.512695,4195.384277,4169.743652,4192.820313,4238.461426,4182.05127
4333.846191,4218.461426,4205.641113,4236.922852,4184.102539,4173.333008,4172.307617,4199.487305,4190.256348,4193.333008,4182.05127,4187.179199,4252.820313,4185.12793
4340.512695,4222.05127,4256.410156,4243.589844,4194.358887,4175.384277,4177.94873,4203.589844,4188.205078,4187.692383,4189.230469,4202.05127,4251.281738,4206.153809
4337.436035,4224.102539,4180.512695,4243.589844,4185.12793,4165.641113,4164.102539,4180,4184.102539,4188.205078,4181.025391,4194.358887,4249.230469,4211.281738
4322.563965,4205.12793,4183.07666,4232.820313,4195.384277,4168.717773,4168.205078,4164.615234,4177.436035,4194.358887,4168.717773,4184.615234,4239.487305,4190.769043
4312.307617,4201.538574,4186.666504,4229.230469,4188.717773,4189.230469,4169.743652,4173.333008,4179.487305,4193.846191,4165.641113,4185.12793,4236.410156,4188.717773
4320.512695,4215.897461,4182.05127,4231.794922,4195.897461,4188.717773,4167.692383,4182.05127,4190.769043,4191.281738,4170.256348,4191.794922,4237.94873,4203.589844
4319.487305,4217.436035,4194.358887,4229.230469,4214.871582,4167.179199,4169.743652,4181.025391,4193.333008,4193.333008,4169.743652,4193.333008,4228.205078,4192.307617
4305.12793,4208.717773,4173.333008,4227.692383,4187.692383,4162.05127,4154.871582,4175.897461,4185.641113,4193.333008,4158.974121,4172.820313,4216.410156,4172.307617
4314.871582,4197.436035,4225.12793,4230.769043,4180,4172.307617,4155.384277,4171.794922,4169.230469,4192.307617,4151.281738,4182.563965,4204.615234,4171.794922
4315.384277,4187.692383,4213.333008,4236.410156,4186.666504,4173.333008,4157.94873,4178.461426,4163.07666,4191.794922,4151.794922,4187.692383,4197.436035,4169.743652
4304.615234,4189.230469,4172.820313,4241.025391,4190.769043,4166.153809,4160,4186.153809,4171.281738,4190.769043,4151.281738,4171.281738,4208.205078,4163.589844
4309.743652,4195.384277,4186.666504,4245.12793,4193.846191,4167.692383,4167.692383,4185.12793,4184.102539,4192.307617,4152.307617,4180,4227.179199,4168.717773
4314.358887,4201.025391,4179.487305,4253.333008,4185.12793,4176.922852,4163.589844,4192.820313,4201.538574,4193.333008,4163.07666,4184.102539,4238.974121,4181.025391
4323.589844,4202.05127,4234.358887,4258.974121,4194.871582,4174.358887,4173.846191,4204.102539,4207.692383,4193.333008,4168.717773,4189.743652,4246.153809,4195.384277
4315.384277,4193.333008,4210.256348,4250.256348,4187.692383,4170.769043,4167.179199,4192.307617,4192.820313,4190.769043,4159.487305,4184.102539,4251.281738,4196.410156
4297.94873,4194.358887,4158.974121,4247.179199,4181.025391,4182.05127,4154.871582,4182.563965,4180,4191.281738,4152.820313,4167.692383,4243.07666,4182.563965
4300.512695,4206.666504,4210.256348,4255.384277,4195.384277,4188.717773,4167.692383,4191.794922,4185.12793,4192.307617,4158.974121,4185.641113,4231.794922,4178.974121
4297.436035,4201.025391,4198.974121,4252.307617,4193.846191,4183.589844,4167.692383,4189.743652,4183.589844,4188.205078,4161.538574,4192.820313,4234.358887,4183.07666
4300.512695,4188.205078,4209.743652,4244.102539,4206.153809,4188.717773,4168.717773,4185.641113,4169.230469,4188.205078,4156.410156,4188.205078,4231.794922,4174.358887
4305.12793,4193.846191,4211.281738,4250.769043,4196.922852,4186.666504,4164.615234,4196.922852,4169.743652,4192.820313,4153.333008,4177.94873,4208.717773,4157.94873
